trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic,messages_delivered_to_robot,messages_dropped_to_robot,trial_status,failure_type,failure_message
0,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,00,187,0,76,112,0,0,0,614,192,422,379,235,0,collision_intent:192;dga_entry:235;state:187,1360,495,completed,,
0,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,01,166,0,81,86,0,0,0,623,182,441,348,275,0,collision_intent:182;dga_entry:275;state:166,1240,606,completed,,
0,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,02,183,0,76,108,0,0,0,528,185,343,368,160,0,collision_intent:185;dga_entry:160;state:183,1306,635,completed,,
0,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,03,242,0,128,115,0,0,0,705,253,452,495,210,0,collision_intent:253;dga_entry:210;state:242,1146,619,completed,,
1,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,00,102,0,39,64,0,0,0,349,107,242,209,140,0,collision_intent:107;dga_entry:140;state:102,825,455,completed,,
1,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,01,64,0,37,28,0,0,0,320,66,254,130,190,0,collision_intent:66;dga_entry:190;state:64,915,393,completed,,
1,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,02,63,0,46,18,0,0,0,227,69,158,132,95,0,collision_intent:69;dga_entry:95;state:63,922,480,completed,,
1,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,03,299,0,239,61,0,0,0,733,299,434,598,135,0,collision_intent:299;dga_entry:135;state:299,623,273,completed,,
2,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,00,,,,,,,,,,,,,,,,,failed,RuntimeError,Debug safety cap reached in trial 2. This usually means the allocator is stuck or returning no reachable goals.
2,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,01,,,,,,,,,,,,,,,,,failed,RuntimeError,Debug safety cap reached in trial 2. This usually means the allocator is stuck or returning no reachable goals.
2,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,02,,,,,,,,,,,,,,,,,failed,RuntimeError,Debug safety cap reached in trial 2. This usually means the allocator is stuck or returning no reachable goals.
2,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,03,,,,,,,,,,,,,,,,,failed,RuntimeError,Debug safety cap reached in trial 2. This usually means the allocator is stuck or returning no reachable goals.
3,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,00,155,0,147,9,0,0,0,490,160,330,315,175,0,collision_intent:160;dga_entry:175;state:155,1547,601,completed,,
3,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,01,276,0,76,201,0,0,0,810,284,526,560,250,0,collision_intent:284;dga_entry:250;state:276,1251,577,completed,,
3,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,02,152,0,55,98,0,0,0,478,161,317,313,165,0,collision_intent:161;dga_entry:165;state:152,1496,664,completed,,
3,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,03,321,0,83,239,0,0,0,860,324,536,645,215,0,collision_intent:324;dga_entry:215;state:321,1064,714,completed,,
