trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
0,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(9,10);(8,11);(2,1);(1,7);(17,13);(4,13);(0,11);(5,8);(0,13);(14,9)",10,True,32.47544793460212,32.47544793460212,00:1;01:4;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(2,1);(14,9);(17,13);(7,8)",190,0,known_visit_horizon,commitment_horizon,8,h8,10,4
1,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(16,15);(17,5);(14,13);(15,3);(13,7);(11,2);(15,16);(16,6);(9,14);(7,16)",10,True,34.59111975062589,34.59111975062589,00:2;01:3;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(15,3);(17,5);(16,15);(9,14)",187,0,known_visit_horizon,commitment_horizon,8,h8,10,4
2,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(0,4);(8,8);(13,2);(0,2);(12,18);(0,9);(16,12);(4,15);(14,2);(12,9)",10,True,36.48983462387467,36.48983462387467,00:4;01:3;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(14,2);(16,12);(4,15);(13,18)",201,0,known_visit_horizon,commitment_horizon,8,h8,10,4
3,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(15,11);(11,8);(11,16);(7,17);(10,5);(0,15);(0,13);(1,12);(3,14);(2,7)",10,True,32.2995513404852,32.2995513404852,00:1;01:2;02:3;03:4,"(0,0);(0,6);(0,12);(0,18)","(10,5);(15,10);(15,11);(11,16)",171,0,known_visit_horizon,commitment_horizon,8,h8,10,4
4,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(13,1);(17,14);(8,0);(10,2);(16,10);(4,18);(0,17);(1,0);(12,16);(8,13)",10,True,41.27624185425832,41.27624185425832,00:4;01:2;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(13,1);(17,14);(12,16);(12,17)",240,0,known_visit_horizon,commitment_horizon,8,h8,10,4
5,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(1,9);(12,6);(16,8);(14,1);(3,5);(8,15);(1,6);(10,6);(16,3);(15,14)",10,True,31.305999316779797,31.305999316779797,00:2;01:4;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(16,3);(16,9);(10,6);(15,14)",161,0,known_visit_horizon,commitment_horizon,8,h8,10,4
6,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(4,12);(9,2);(4,2);(13,8);(16,13);(6,13);(18,2);(4,8);(0,15);(18,7)",10,True,45.5210042453875,45.5210042453875,00:4;01:2;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(18,7);(15,10);(16,13);(4,2)",243,0,known_visit_horizon,commitment_horizon,8,h8,10,4
7,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(7,3);(17,14);(1,9);(13,14);(10,5);(7,16);(18,15);(16,7);(2,12);(9,2)",10,True,45.70292420826093,45.70292420826093,00:4;01:1;02:4;03:1,"(0,0);(0,6);(0,12);(0,18)","(16,7);(9,2);(18,15);(7,16)",266,0,known_visit_horizon,commitment_horizon,8,h8,10,4
8,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(4,16);(9,10);(12,8);(12,15);(11,6);(17,7);(0,5);(2,5);(1,5);(17,0)",10,True,33.5216043694778,33.5216043694778,00:1;01:5;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(18,0);(17,7);(15,8);(12,15)",180,0,known_visit_horizon,commitment_horizon,8,h8,10,4
9,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(12,16);(16,17);(2,7);(18,12);(17,1);(8,2);(9,18);(10,3);(1,4);(1,1)",10,True,44.16406622581803,44.16406622581803,00:4;01:2;02:0;03:4,"(0,0);(0,6);(0,12);(0,18)","(17,1);(14,1);(1,4);(18,12)",249,0,known_visit_horizon,commitment_horizon,8,h8,10,4
10,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(4,2);(13,14);(11,18);(12,10);(5,14);(10,7);(4,14);(8,6);(16,5);(9,18)",10,True,38.56308520241539,38.56308520241539,00:1;01:3;02:4;03:2,"(0,0);(0,6);(0,12);(0,18)","(12,9);(16,3);(12,10);(11,18)",202,0,known_visit_horizon,commitment_horizon,8,h8,10,4
11,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(0,16);(7,11);(14,15);(9,7);(5,12);(8,13);(18,17);(8,17);(13,9);(5,2)",10,True,38.28242868680239,38.28242868680239,00:3;01:3;02:1;03:3,"(0,0);(0,6);(0,12);(0,18)","(13,9);(11,14);(5,13);(18,17)",201,0,known_visit_horizon,commitment_horizon,8,h8,10,4
12,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(16,8);(12,16);(3,3);(5,13);(18,15);(2,17);(2,9);(3,5);(12,6);(9,0)",10,True,40.23056668247856,40.23056668247856,00:3;01:3;02:3;03:1,"(0,0);(0,6);(0,12);(0,18)","(16,8);(3,3);(18,15);(2,17)",241,0,known_visit_horizon,commitment_horizon,8,h8,10,4
13,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(7,7);(3,3);(18,5);(2,10);(12,4);(1,9);(11,11);(13,1);(14,2);(18,3)",10,True,34.373730825529165,34.373730825529165,00:3;01:2;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(12,4);(18,3);(11,11);(5,3)",176,0,known_visit_horizon,commitment_horizon,8,h8,10,4
14,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(18,5);(5,1);(11,15);(4,17);(10,14);(7,16);(10,18);(0,2);(14,0);(7,3)",10,True,37.87627960941723,37.87627960941723,00:2;01:3;02:0;03:5,"(0,0);(0,6);(0,12);(0,18)","(18,5);(7,3);(2,12);(10,18)",231,0,known_visit_horizon,commitment_horizon,8,h8,10,4
15,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(5,17);(2,5);(9,16);(12,15);(5,3);(12,10);(9,2);(1,10);(3,3);(0,1)",10,True,24.992438411856575,24.992438411856575,00:1;01:4;02:2;03:3,"(0,0);(0,6);(0,12);(0,18)","(5,3);(9,2);(12,10);(12,15)",137,0,known_visit_horizon,commitment_horizon,8,h8,10,4
16,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(9,16);(12,0);(5,5);(0,5);(7,3);(1,13);(13,5);(13,1);(9,18);(15,14)",10,True,31.687152529921207,31.687152529921207,00:2;01:4;02:1;03:3,"(0,0);(0,6);(0,12);(0,18)","(13,1);(13,5);(2,18);(15,14)",179,0,known_visit_horizon,commitment_horizon,8,h8,10,4
17,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(10,11);(16,16);(14,2);(2,7);(17,1);(1,6);(18,1);(11,17);(4,8);(10,9)",10,True,35.66192521187984,35.66192521187984,00:3;01:3;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(18,1);(10,8);(10,9);(16,16)",199,0,known_visit_horizon,commitment_horizon,8,h8,10,4
18,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(16,11);(17,4);(13,1);(13,13);(14,12);(2,1);(4,16);(14,2);(12,10);(8,5)",10,True,35.98412465385778,35.98412465385778,00:4;01:1;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(17,4);(2,1);(16,11);(13,10)",186,0,known_visit_horizon,commitment_horizon,8,h8,10,4
19,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(2,7);(14,9);(15,12);(9,15);(11,4);(6,18);(10,5);(11,1);(8,18);(6,4)",10,True,31.4307530984458,31.4307530984458,00:1;01:4;02:2;03:3,"(0,0);(0,6);(0,12);(0,18)","(10,1);(11,1);(14,9);(9,11)",164,0,known_visit_horizon,commitment_horizon,8,h8,10,4
20,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(7,4);(6,9);(8,14);(16,6);(4,3);(4,16);(1,12);(2,18);(14,4);(7,0)",10,True,33.18742601488355,33.18742601488355,00:2;01:3;02:2;03:3,"(0,0);(0,6);(0,12);(0,18)","(7,0);(16,6);(6,3);(8,14)",187,0,known_visit_horizon,commitment_horizon,8,h8,10,4
21,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(16,12);(10,18);(2,11);(9,15);(16,13);(9,8);(12,17);(13,9);(10,10);(16,17)",10,True,34.58658375391333,34.58658375391333,00:1;01:3;02:3;03:3,"(0,0);(0,6);(0,12);(0,18)","(2,11);(13,9);(16,17);(9,15)",188,0,known_visit_horizon,commitment_horizon,8,h8,10,4
22,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(16,6);(3,4);(5,15);(15,18);(7,0);(9,12);(3,2);(2,9);(5,1);(15,14)",10,True,55.73772274357928,55.73772274357928,00:5;01:1;02:3;03:1,"(0,0);(0,6);(0,12);(0,18)","(2,9);(16,6);(15,18);(4,10)",322,0,known_visit_horizon,commitment_horizon,8,h8,10,4
23,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(12,7);(13,3);(10,6);(2,13);(11,9);(11,16);(16,7);(6,18);(14,9);(1,16)",10,True,41.88694657838548,41.88694657838548,00:2;01:4;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(16,7);(16,8);(6,18);(11,14)",245,0,known_visit_horizon,commitment_horizon,8,h8,10,4
24,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(4,17);(16,16);(11,3);(8,8);(10,10);(5,11);(13,17);(4,2);(1,0);(3,16)",10,True,30.098097629139595,30.098097629139595,00:3;01:1;02:3;03:3,"(0,0);(0,6);(0,12);(0,18)","(11,3);(3,16);(10,10);(16,16)",163,0,known_visit_horizon,commitment_horizon,8,h8,10,4
25,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(4,5);(2,9);(6,4);(10,6);(2,6);(6,17);(4,12);(5,10);(6,18);(8,15)",10,True,23.450181016545272,23.450181016545272,00:0;01:4;02:3;03:3,"(0,0);(0,6);(0,12);(0,18)","(8,5);(10,6);(2,9);(8,15)",128,0,known_visit_horizon,commitment_horizon,8,h8,10,4
26,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(5,11);(17,0);(17,10);(8,15);(7,11);(1,18);(5,1);(9,4);(3,12);(14,1)",10,True,42.4247076718709,42.4247076718709,00:3;01:2;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(17,0);(17,10);(8,14);(8,15)",229,0,known_visit_horizon,commitment_horizon,8,h8,10,4
27,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(1,7);(5,4);(3,12);(7,14);(5,13);(5,15);(8,16);(1,0);(1,1);(9,13)",10,True,20.78516246018148,20.78516246018148,00:3;01:1;02:4;03:2,"(0,0);(0,6);(0,12);(0,18)","(5,6);(5,13);(9,13);(8,16)",117,0,known_visit_horizon,commitment_horizon,8,h8,10,4
28,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(16,8);(9,8);(14,12);(7,1);(5,11);(2,5);(17,14);(4,17);(5,2);(10,3)",10,True,35.526110214945334,35.526110214945334,00:4;01:2;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(10,3);(16,8);(18,13);(9,8)",188,0,known_visit_horizon,commitment_horizon,8,h8,10,4
29,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(8,0);(17,10);(9,18);(6,11);(11,8);(2,0);(15,5);(7,18);(7,14);(12,16)",10,True,39.1393165214051,39.1393165214051,00:3;01:2;02:2;03:3,"(0,0);(0,6);(0,12);(0,18)","(15,5);(17,10);(6,11);(12,16)",218,0,known_visit_horizon,commitment_horizon,8,h8,10,4
30,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(13,2);(3,5);(4,3);(10,16);(12,17);(7,5);(4,8);(12,7);(14,18);(18,4)",10,True,62.64313170251947,62.64313170251947,00:2;01:4;02:1;03:3,"(0,0);(0,6);(0,12);(0,18)","(5,8);(4,8);(18,4);(14,18)",343,0,known_visit_horizon,commitment_horizon,8,h8,10,4
31,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(14,2);(18,12);(15,10);(1,17);(4,2);(12,0);(9,7);(6,12);(3,3);(0,7)",10,True,36.78204608064481,36.78204608064481,00:3;01:3;02:3;03:1,"(0,0);(0,6);(0,12);(0,18)","(14,0);(14,2);(18,12);(6,12)",200,0,known_visit_horizon,commitment_horizon,8,h8,10,4
32,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(12,3);(14,17);(3,14);(13,17);(10,17);(8,9);(2,3);(4,4);(11,7);(10,0)",10,True,30.29482551959851,30.29482551959851,00:2;01:3;02:2;03:3,"(0,0);(0,6);(0,12);(0,18)","(12,6);(11,7);(10,8);(14,17)",161,0,known_visit_horizon,commitment_horizon,8,h8,10,4
33,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(3,1);(2,1);(11,5);(10,18);(1,7);(3,15);(11,8);(18,9);(8,15);(10,16)",10,True,46.912231546511045,46.912231546511045,00:4;01:2;02:0;03:4,"(0,0);(0,6);(0,12);(0,18)","(11,8);(18,9);(2,1);(10,18)",272,0,known_visit_horizon,commitment_horizon,8,h8,10,4
34,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(15,17);(9,13);(9,17);(9,12);(7,17);(15,11);(2,10);(12,14);(16,4);(12,5)",10,True,54.264096574679904,54.264096574679904,00:0;01:2;02:4;03:4,"(0,0);(0,6);(0,12);(0,18)","(5,4);(15,11);(2,10);(12,14)",282,0,known_visit_horizon,commitment_horizon,8,h8,10,4
35,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(4,10);(18,15);(18,7);(5,0);(14,3);(2,4);(7,7);(1,9);(3,9);(0,10)",10,True,35.96699488509145,35.96699488509145,00:2;01:2;02:5;03:1,"(0,0);(0,6);(0,12);(0,18)","(14,3);(18,7);(2,4);(18,15)",188,0,known_visit_horizon,commitment_horizon,8,h8,10,4
36,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(10,2);(4,9);(16,16);(0,1);(3,1);(7,7);(8,4);(1,4);(16,15);(17,7)",10,True,36.61599246917688,36.61599246917688,00:3;01:2;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(7,8);(15,4);(17,7);(16,15)",192,0,known_visit_horizon,commitment_horizon,8,h8,10,4
37,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(15,9);(14,10);(17,14);(10,3);(0,8);(2,3);(0,13);(10,6);(6,1);(7,8)",10,True,49.8281284198601,49.8281284198601,00:3;01:4;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(10,3);(18,11);(17,14);(0,13)",302,0,known_visit_horizon,commitment_horizon,8,h8,10,4
38,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(16,4);(4,14);(18,1);(4,8);(18,10);(18,8);(3,8);(5,11);(18,2);(13,2)",10,True,42.10483024445923,42.10483024445923,00:4;01:3;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(18,1);(18,7);(18,10);(4,14)",243,0,known_visit_horizon,commitment_horizon,8,h8,10,4
39,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(5,15);(2,13);(17,12);(3,9);(6,9);(7,3);(1,13);(3,3);(10,13);(11,11)",10,True,40.42117123583134,40.42117123583134,00:4;01:1;02:4;03:1,"(0,0);(0,6);(0,12);(0,18)","(5,15);(4,3);(17,12);(16,11)",216,0,known_visit_horizon,commitment_horizon,8,h8,10,4
40,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(1,1);(4,8);(2,9);(13,18);(4,4);(10,4);(0,17);(7,15);(4,10);(7,17)",10,True,23.514602308913336,23.514602308913336,00:3;01:3;02:3;03:1,"(0,0);(0,6);(0,12);(0,18)","(10,4);(4,11);(7,15);(13,17)",125,0,known_visit_horizon,commitment_horizon,8,h8,10,4
41,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(7,2);(15,1);(6,2);(7,5);(1,6);(13,1);(9,10);(5,0);(13,2);(13,10)",10,True,29.9881147151059,29.9881147151059,00:4;01:4;02:2;03:0,"(0,0);(0,6);(0,12);(0,18)","(15,1);(6,2);(13,10);(1,18)",182,0,known_visit_horizon,commitment_horizon,8,h8,10,4
42,known_visit,DGA,gilbert_elliot,0.75,19,361,4,10,dga_h8_ge_075,known_visit_10target_300.csv,"(2,15);(2,14);(17,7);(4,12);(6,13);(17,15);(9,18);(17,5);(9,11);(5,2)",10,True,39.15457441546465,39.15457441546465,00:1;01:2;02:5;03:2,"(0,0);(0,6);(0,12);(0,18)","(12,10);(17,7);(2,15);(17,15)",200,0,known_visit_horizon,commitment_horizon,8,h8,10,4
